age_bracket,health_bracket,religious_bracket,income_bracket,friends_bracket,happiness,count
4,0,3,0,3,40,5
4,0,3,1,1,0,5
4,0,3,1,3,0,1
4,0,3,2,0,0,1
4,0,3,2,1,0,1
4,0,3,2,2,33.3333333333333,3
4,0,3,2,3,0,1
4,0,3,3,1,0,3
4,0,3,3,2,100,1
4,0,3,4,2,100,1
4,0,3,4,3,100,1
4,0,3,4,4,100,1
4,0,4,0,1,33.3333333333333,3
4,0,4,0,2,50,6
4,0,4,0,3,50,2
4,0,4,0,4,50,2
4,0,4,1,1,33.3333333333333,3
4,0,4,1,3,100,1
4,0,4,1,4,100,1
4,0,4,2,0,100,1
4,0,4,2,1,0,2
4,0,4,2,2,50,2
4,0,4,2,3,0,1
4,0,4,3,1,100,1
4,0,4,3,3,0,1
4,0,4,4,1,50,2
4,0,4,4,2,100,1
4,1,0,0,0,25,12
4,1,0,0,1,27.2727272727273,66
4,1,0,0,2,30.4347826086957,23
4,1,0,0,3,40,30
4,1,0,0,4,44.4444444444444,9
4,1,0,1,0,0,3
4,1,0,1,1,30.5555555555556,36
4,1,0,1,2,16,25
4,1,0,1,3,50,14
4,1,0,1,4,50,6
4,1,0,2,0,20,5
4,1,0,2,1,25.9259259259259,27
4,1,0,2,2,43.75,16
4,1,0,2,3,37.5,16
4,1,0,2,4,75,4
4,1,0,3,0,0,1
4,1,0,3,1,65.2173913043478,23
4,1,0,3,2,50,16
4,1,0,3,3,61.1111111111111,18
4,1,0,3,4,44.4444444444444,9
4,1,0,4,1,45.4545454545455,11
4,1,0,4,2,45.4545454545455,11
4,1,0,4,3,47.0588235294118,17
4,1,0,4,4,60,5
4,1,1,0,0,11.1111111111111,9
4,1,1,0,1,27.2727272727273,33
4,1,1,0,2,15.3846153846154,13
4,1,1,0,3,66.6666666666667,9
4,1,1,0,4,100,3
4,1,1,1,0,0,1
4,1,1,1,1,42.1052631578947,19
4,1,1,1,2,28.5714285714286,14
4,1,1,1,3,36.3636363636364,11
4,1,1,1,4,100,2
4,1,1,2,0,100,1
4,1,1,2,1,15,20
4,1,1,2,2,28.5714285714286,7
4,1,1,2,3,45.4545454545455,11
4,1,1,2,4,100,1
4,1,1,3,1,57.1428571428571,7
4,1,1,3,2,40,10
4,1,1,3,3,57.1428571428571,7
4,1,1,3,4,0,4
4,1,1,4,0,0,2
4,1,1,4,1,50,10
4,1,1,4,2,25,4
4,1,1,4,3,33.3333333333333,6
4,1,2,0,0,33.3333333333333,12
4,1,2,0,1,27.4509803921569,51
4,1,2,0,2,25,28
4,1,2,0,3,50,18
4,1,2,0,4,28.5714285714286,7
4,1,2,1,0,0,3
4,1,2,1,1,30.7692307692308,26
4,1,2,1,2,16.6666666666667,6
4,1,2,1,3,25,12
4,1,2,1,4,40,5
4,1,2,2,0,25,4
4,1,2,2,1,27.2727272727273,22
4,1,2,2,2,33.3333333333333,12
4,1,2,2,3,33.3333333333333,9
4,1,2,2,4,0,2
4,1,2,3,0,33.3333333333333,3
4,1,2,3,1,42.8571428571429,21
4,1,2,3,2,70,10
4,1,2,3,3,75,4
4,1,2,3,4,50,2
4,1,2,4,0,100,1
4,1,2,4,1,0,7
4,1,2,4,2,33.3333333333333,3
4,1,2,4,3,50,14
4,1,2,4,4,100,3
4,1,3,0,0,16.6666666666667,6
4,1,3,0,1,31.0344827586207,29
4,1,3,0,2,76.9230769230769,13
4,1,3,0,3,69.2307692307692,13
4,1,3,0,4,0,4
4,1,3,1,0,33.3333333333333,3
4,1,3,1,1,14.2857142857143,14
4,1,3,1,2,20,5
4,1,3,1,3,50,6
4,1,3,1,4,25,4
4,1,3,2,0,50,2
4,1,3,2,1,36.8421052631579,19
4,1,3,2,2,63.6363636363636,11
4,1,3,2,3,66.6666666666667,9
4,1,3,2,4,57.1428571428571,7
4,1,3,3,0,0,2
4,1,3,3,1,33.3333333333333,12
4,1,3,3,2,76.9230769230769,13
4,1,3,3,3,60,5
4,1,3,3,4,0,1
4,1,3,4,1,66.6666666666667,9
4,1,3,4,2,81.8181818181818,11
4,1,3,4,3,66.6666666666667,9
4,1,3,4,4,75,4
4,1,4,0,0,0,3
4,1,4,0,1,54.1666666666667,24
4,1,4,0,2,80,10
4,1,4,0,3,100,6
4,1,4,0,4,66.6666666666667,3
4,1,4,1,0,50,2
4,1,4,1,1,50,10
4,1,4,1,2,66.6666666666667,6
4,1,4,1,3,50,4
4,1,4,1,4,100,3
4,1,4,2,1,57.1428571428571,7
4,1,4,2,2,25,4
4,1,4,2,3,66.6666666666667,3
4,1,4,2,4,100,1
4,1,4,3,0,50,2
4,1,4,3,1,14.2857142857143,7
4,1,4,3,2,66.6666666666667,3
4,1,4,3,3,33.3333333333333,3
4,1,4,3,4,0,1
4,1,4,4,0,0,1
4,1,4,4,1,100,3
4,1,4,4,2,100,1
4,1,4,4,3,100,1
4,2,0,0,0,39.3939393939394,33
4,2,0,0,1,47.8632478632479,234
4,2,0,0,2,50.5376344086022,93
4,2,0,0,3,64.1509433962264,106
4,2,0,0,4,72.2222222222222,36
4,2,0,1,0,16.6666666666667,12
4,2,0,1,1,47.1264367816092,87
4,2,0,1,2,55.2238805970149,67
4,2,0,1,3,48.4375,64
4,2,0,1,4,52.3809523809524,21
4,2,0,2,0,42.8571428571429,14
4,2,0,2,1,50,132
4,2,0,2,2,55.4054054054054,74
4,2,0,2,3,65.6862745098039,102
4,2,0,2,4,69.0476190476191,42
4,2,0,3,0,40,5
4,2,0,3,1,54.1666666666667,144
4,2,0,3,2,68.2926829268293,123
4,2,0,3,3,77.3049645390071,141
4,2,0,3,4,73.9130434782609,46
4,2,0,4,0,11.1111111111111,9
4,2,0,4,1,58.3333333333333,120
4,2,0,4,2,70.3389830508475,118
4,2,0,4,3,84.8314606741573,178
4,2,0,4,4,84.0579710144928,69
4,2,1,0,0,33.3333333333333,9
4,2,1,0,1,50.6172839506173,81
4,2,1,0,2,52.1739130434783,46
4,2,1,0,3,57.5,40
4,2,1,0,4,37.5,8
4,2,1,1,0,33.3333333333333,6
4,2,1,1,1,41.025641025641,39
4,2,1,1,2,38.2352941176471,34
4,2,1,1,3,52.7777777777778,36
4,2,1,1,4,50,6
4,2,1,2,1,36.734693877551,49
4,2,1,2,2,61.9047619047619,63
4,2,1,2,3,72.2222222222222,36
4,2,1,2,4,68.421052631579,19
4,2,1,3,0,0,1
4,2,1,3,1,60,65
4,2,1,3,2,76,50
4,2,1,3,3,75.8620689655172,58
4,2,1,3,4,65.2173913043478,23
4,2,1,4,0,11.1111111111111,9
4,2,1,4,1,65.8536585365854,41
4,2,1,4,2,78,50
4,2,1,4,3,82.258064516129,62
4,2,1,4,4,77.2727272727273,22
4,2,2,0,0,20,20
4,2,2,0,1,46.8354430379747,158
4,2,2,0,2,53.0120481927711,83
4,2,2,0,3,62.3188405797101,69
4,2,2,0,4,64.2857142857143,14
4,2,2,1,0,50,8
4,2,2,1,1,37.6811594202899,69
4,2,2,1,2,47.4576271186441,59
4,2,2,1,3,53.7037037037037,54
4,2,2,1,4,78.5714285714286,14
4,2,2,2,0,54.5454545454545,11
4,2,2,2,1,52.2727272727273,88
4,2,2,2,2,54.2857142857143,70
4,2,2,2,3,72,50
4,2,2,2,4,78.2608695652174,23
4,2,2,3,0,33.3333333333333,3
4,2,2,3,1,60.7142857142857,84
4,2,2,3,2,63.768115942029,69
4,2,2,3,3,74.4186046511628,86
4,2,2,3,4,62.0689655172414,29
4,2,2,4,0,50,2
4,2,2,4,1,69.5652173913043,69
4,2,2,4,2,82.7586206896552,58
4,2,2,4,3,81.4432989690722,97
4,2,2,4,4,87.8787878787879,33
4,2,3,0,0,46.1538461538462,13
